Machine,Type Of Failure,Defect Code,Microstop Description,Type,Declaration Start Time,Call Maintenance Time,Intervention Start Time,Declaration End Time,Down Time,Delay Time,Operator ID,Maintenance ID,Comment,Serial Device,Down Time (min),Delay Time (min),Reaction Time (min),Waiting Time (min),Intervention Time (min),Total Maintenance Time (min),Hour,Shift,Comment_Clean
KOMAX_13,APPAREILS QUALITE,Q02,P-Micromètre,Maintenance,2025-04-02 14:35:01,2025-04-02 14:35:09,2025-04-02 14:36:42,2025-04-02 14:50:04.333,00:14:55,00:01:33,1903,6222,reset ,na,14.92,1.55,0.13,1.55,13.37,14.92,14.0,Après-midi,RESET
KOMAX_60,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-02 14:36:57,2025-04-02 14:37:05,2025-04-02 14:41:04,2025-04-02 14:48:07.300,00:11:02,00:03:59,93131,1613,reglage bellmouth ,LS91760,11.03,3.98,0.13,3.98,7.06,11.04,14.0,Après-midi,REGLAGE BELLMOUTH TÉMOIN
KOMAX_10,APPAREILS QUALITE,Q09,P-Autres de qualité,Maintenance,2025-04-03 05:26:05,2025-04-03 05:36:39,2025-04-03 05:36:48,2025-04-03 05:37:04.720,00:00:25,00:00:09,94907,3377,reset 24v,INCONNU,0.42,0.15,10.57,0.15,0.28,0.43,5.0,Nuit,RESET 24V
KOMAX_20,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-03 10:01:26,2025-04-03 10:01:32,2025-04-03 10:06:19,2025-04-03 10:10:12.213,00:08:40,00:04:47,22048,3346,montage vis rt ecrou,INCONNU,8.67,4.78,0.1,4.78,3.89,8.67,10.0,Matin,MONTAGE VIS RETRACTABLE ECROU
KOMAX_41,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-04 00:40:38,2025-04-04 00:40:41,2025-04-04 00:44:15,2025-04-04 00:51:59.070,00:11:18,00:03:34,25059,5833,chgt ressort pressort,LS130331,11.3,3.57,0.05,3.57,7.73,11.3,0.0,Nuit,CHANGEMENT RESSORT PRESSORT
KOMAX_4,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-04 06:05:31,2025-04-04 06:24:48,2025-04-04 08:15:22,2025-04-04 08:15:30.287,01:50:42,01:50:34,0000,4376,AUCUN COMMENTAIRE,INCONNU,110.7,110.57,19.28,110.57,0.14,110.7,6.0,Matin,AUCUN COMMENTAIRE
KOMAX_61,APPAREILS QUALITE,Q02,P-Micromètre,Maintenance,2025-04-04 06:41:15,2025-04-04 06:41:22,2025-04-04 06:51:51,2025-04-04 06:58:10.780,00:16:48,00:10:29,82915,6222,reset ,na,16.8,10.48,0.12,10.48,6.33,16.81,6.0,Matin,RESET
KOMAX_43,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-04 09:52:13,2025-04-04 09:52:25,2025-04-04 09:55:07,2025-04-04 09:57:41.017,00:05:16,00:02:42,17990,6222,reg parametre teste mesure ,na,5.27,2.7,0.2,2.7,2.57,5.27,9.0,Matin,REGLAGE PARAMETRE TESTE MESURE
KOMAX_17,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-04 13:08:45,2025-04-04 13:09:55,2025-04-04 13:13:50,2025-04-04 13:15:46.700,00:05:51,00:03:55,22178,831,RAS,INCONNU,5.85,3.92,1.17,3.92,1.94,5.86,13.0,Matin,RIEN A SIGNALER
KOMAX_25,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-04 18:25:24,2025-04-04 18:26:53,2025-04-04 18:29:58,2025-04-04 18:33:56.087,00:07:03,00:03:05,91589,974,raccordement cable communcation,na,7.05,3.08,1.48,3.08,3.97,7.05,18.0,Après-midi,RACCORDEMENT CABLE COMMUNCATION
KOMAX_31,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-05 00:09:10,2025-04-05 00:10:23,2025-04-05 00:16:06,2025-04-05 00:21:57.097,00:11:34,00:05:43,21369,3377,nettoyage la tete et reg para,na,11.57,5.72,1.22,5.72,5.85,11.57,0.0,Nuit,NETTOYAGE LA TETE ET REGLAGE PARAMETRES
KOMAX_1,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-05 09:37:56,2025-04-05 09:38:05,2025-04-05 09:48:31,2025-04-05 09:50:20.093,00:12:15,00:10:26,9665,831,red PC,INCONNU,12.25,10.43,0.15,10.43,1.82,12.25,9.0,Matin,REDEMARRAGE PC
KOMAX_19,APPAREILS QUALITE,Q01,P-Pull tester,Maintenance,2025-04-05 14:22:19,2025-04-05 14:22:23,2025-04-05 14:24:55,2025-04-05 14:26:43.050,00:04:20,00:02:32,97148,3346,reset,INCONNU,4.33,2.53,0.07,2.53,1.8,4.33,14.0,Après-midi,RESET
